Epoch,Accuracy,F1,Jaccard,Dice,Recall,Precision,Validation_Loss,Train_Loss
1,0.823761416153169,0.6800037034393217,0.5577840213248433,0.6800037034393216,0.6764924231678483,0.7595635922648708,0.7401589751243591,0.7888216574986776
2,0.8289596665073449,0.7126562485426606,0.5928468531882558,0.7126562485426606,0.6812060978426884,0.8281995658290537,0.6989136040210724,0.7048197165131569
3,0.8372542690223371,0.7101778330880302,0.5904795446765153,0.7101778330880302,0.6798195207486558,0.814777662066298,0.6763426959514618,0.6782616265118122
4,0.8581375336982835,0.7372359899333945,0.6234159918928912,0.7372359899333946,0.7235776968754435,0.8200495570482265,0.6553477644920349,0.6627822257578373
5,0.853333271725077,0.7388330366646498,0.6246780213623467,0.7388330366646498,0.7075574940827776,0.8417292511460357,0.6387876172860464,0.6417529123524824
6,0.8625553829569212,0.7515955232752196,0.6413228914327151,0.75159552327522,0.7294051692550804,0.8400485669654628,0.6217870513598124,0.6216896461943785
7,0.880845244501678,0.7594018332680308,0.6534363512281601,0.7594018332680308,0.8011199015339924,0.7818674483474255,0.6015427311261495,0.6096209821601709
8,0.8734043282522282,0.7653092899262554,0.659200014103428,0.7653092899262554,0.7731108726572321,0.814080765725309,0.5985773702462515,0.5972148204843203
9,0.8683595791668959,0.755615617230222,0.6451187601990017,0.7556156172302216,0.7399850201588534,0.8388549117848718,0.5950242678324381,0.58613749841849
10,0.8705098864058374,0.7650080222607335,0.6565971093609433,0.7650080222607335,0.7472253206442246,0.8463206488432213,0.6201797823111216,0.5750361873457829
11,0.8819907819721061,0.7723056429699184,0.6666564129837173,0.7723056429699184,0.8033259341429242,0.8038679262256002,0.5670995712280273,0.5674695372581482
12,0.8891522582148162,0.7694123213520159,0.6649822587301911,0.7694123213520158,0.8115347990388703,0.7881760436766585,0.5518710911273956,0.5549839505304893
13,0.8831876298071633,0.7754556974790122,0.6686007198719787,0.7754556974790122,0.7774633398666146,0.8327729470045444,0.5518846809864044,0.5403055765976509
14,0.8863259973660321,0.7840094140395906,0.6811722622771281,0.7840094140395906,0.8011338144690603,0.8267486508782885,0.5342065791289011,0.5298729663093885
15,0.8894561445209342,0.7830141595375069,0.6800864137475551,0.783014159537507,0.7996606857651605,0.8272836070193601,0.5118210315704346,0.5223454354951779
16,0.8873019151284661,0.7850712838445147,0.6815074694981923,0.7850712838445147,0.7896245478050808,0.837180087856631,0.5185850163300832,0.5133193023502827
17,0.8864066432899153,0.7779420926368644,0.6744049684181727,0.7779420926368643,0.7823948400740667,0.8367223832362097,0.5154863446950912,0.5032727339615425
18,0.8964049110949879,0.7957286208403072,0.6951964991630178,0.795728620840307,0.8129613226055985,0.8311870724606099,0.48610037565231323,0.49548643454909325
19,0.8893486345318001,0.7901942804468737,0.6893841912147428,0.7901942804468736,0.7945827220426478,0.8416331191329783,0.49719710151354474,0.48720017448067665
20,0.8978894193407515,0.7984421428021665,0.7011943870324415,0.7984421428021663,0.831639642182594,0.8184341688299517,0.48331018288930255,0.4786449149250984
21,0.8883586937273052,0.7863954011813091,0.6868137473894963,0.7863954011813091,0.8018595455859796,0.828285460857729,0.48249413073062897,0.4754659924656153
22,0.8693315210476728,0.7781861785250912,0.6771858740869625,0.7781861785250912,0.7664109337745701,0.8571037055214527,0.5268775820732117,0.4693321244170268
23,0.8992346105441241,0.8067224179902962,0.7089231828390558,0.8067224179902961,0.8376663931962407,0.820533262618196,0.4604435513416926,0.46402987527350587
24,0.8968144269056724,0.7989543274059885,0.6995748065438998,0.7989543274059885,0.8140290420330386,0.830059670738647,0.47198974589506787,0.4584806300699711
25,0.8968878732600682,0.8014667864528343,0.7037520038034814,0.8014667864528343,0.8075746377022515,0.8490911859445884,0.46151452759901684,0.45034598745405674
26,0.8934677016567176,0.7934254888346706,0.694277905026138,0.7934254888346706,0.7905727723287067,0.8501263802978468,0.4618380566438039,0.44306716198722523
27,0.9024257928552762,0.8085437702536011,0.7110719242045751,0.808543770253601,0.825104115197211,0.8393209431308736,0.4400044033924739,0.43492574493090314
28,0.9057256134463029,0.8145243383463591,0.7188664789326544,0.8145243383463591,0.8362119218583344,0.8393938792940894,0.4297034690777461,0.42612884131570655
29,0.8979643700828015,0.8043058547519852,0.7031653073551748,0.8043058547519852,0.8096763659920776,0.8479039161915406,0.43941910068194073,0.42718059072891873
30,0.9043417917170995,0.8151504517999508,0.7188507344379165,0.8151504517999509,0.8365651581823121,0.8384870390849877,0.4172856956720352,0.4225669043759505
31,0.8991942607181173,0.8045811900762531,0.7070778695000727,0.804581190076253,0.8215158072721543,0.8393742516362123,0.42764517664909363,0.41456738362709683
32,0.9030105698276574,0.8167806925431813,0.7197417730731438,0.8167806925431814,0.8209864203426342,0.8552021398384069,0.4212975601355235,0.41103266055385274
33,0.900864345926634,0.8052343352343772,0.7076655964858293,0.8052343352343772,0.8099462178356426,0.8504126614223387,0.41688527166843414,0.4029101350655158
34,0.8933003385302046,0.7995027973019817,0.6992431335351673,0.7995027973019818,0.7855683826433374,0.8658554565118571,0.43356400231520337,0.3987134788185358
35,0.9036157097614986,0.8158013030627579,0.7197620425813965,0.815801303062758,0.8368533316700373,0.8383005463032029,0.39982080459594727,0.387139530852437
36,0.9011118176957251,0.8068522252917517,0.7111561814067842,0.8068522252917518,0.8131670624345733,0.8513367020591747,0.40294257799784344,0.39091221056878567
37,0.9048065400459397,0.8143360837350748,0.7201016516875121,0.8143360837350748,0.8417801956913911,0.8307113182872554,0.39339016377925873,0.3838816800465186
38,0.9045471943600077,0.8110944977124265,0.7161735788564435,0.8110944977124265,0.839002415135348,0.8276008879992365,0.39477816720803577,0.3803613514949878
39,0.9064573905837368,0.8167765845754702,0.7229009868413085,0.8167765845754702,0.8313936322156354,0.8463052973836284,0.38764041662216187,0.37977711421748
40,0.9093447940450319,0.8200878294295,0.7261386816970469,0.8200878294295,0.8471423180773194,0.835749470323846,0.38184593617916107,0.3770100095619758
41,0.9075580650651959,0.8188472007936787,0.7246843544626288,0.8188472007936786,0.826882251369898,0.8547050249113538,0.38539349536101025,0.3682996655503909
42,0.9049038954184089,0.8150711744777338,0.7211574041681741,0.8150711744777337,0.825368239176005,0.8545050251824651,0.37956006328264874,0.36263007422288257
43,0.9046103786414778,0.8112770760194442,0.7176188564935523,0.8112770760194442,0.8238353701553874,0.847977928431994,0.3853435665369034,0.3592082541435957
44,0.9110021994147502,0.8251498149879738,0.7332951440446284,0.8251498149879739,0.8561289774278865,0.8395091289866049,0.36355530222256977,0.3601054195314646
45,0.8960927506567726,0.8011590672710851,0.7056425088065569,0.8011590672710851,0.7956665514032184,0.8611925693610111,0.4002411862214406,0.35684390055636567
46,0.9079400183449329,0.8198941810276114,0.7296457667537525,0.8198941810276114,0.8542304975266314,0.8367428987975095,0.3651985724767049,0.3546191565692425
47,0.9001984932053257,0.8070418066745484,0.7116512477232402,0.8070418066745484,0.8086315796339282,0.8596763407562994,0.38677836457888287,0.3559494825700919
48,0.9090376840510839,0.8235655602933437,0.7309516378159319,0.8235655602933437,0.8547111530235402,0.8346099367385434,0.36064137021700543,0.3521121256053448
49,0.9085057218309859,0.8253721123597463,0.733637373743446,0.8253721123597463,0.8334774204007959,0.8635769997873519,0.3580952187379201,0.34198789360622567
50,0.9107129271601287,0.8207506073951304,0.7297909036533178,0.8207506073951303,0.8586238662451926,0.8295360416715685,0.36128051082293194,0.34426990896463394
